GeneID	GSM1041191	GSM1041192	GSM1041193	GSM1041194	GSM1041195	GSM1041196	GSM1041197	GSM1041198	GSM1041199
2916	1	2	0	0	1	0	0	1	1
345462	45	51	60	70	39	38	102	70	64
30832	315	392	415	274	325	243	917	644	789
9509	1257	1155	686	711	456	492	6689	740	3436
105377759	0	0	0	0	0	1	1	0	0
107986494	0	0	0	1	2	1	0	0	0
105377761	0	0	0	0	0	0	0	0	0
105377762	5	4	2	3	2	6	4	10	0
80230	1031	1122	909	1145	884	817	1944	1475	1381
101928445	77	83	66	87	46	57	47	32	41
3187	6489	8106	6076	4047	6114	5491	7846	2984	10857
285679	1	0	0	1	0	0	0	0	0
105377763	3	4	1	3	4	5	4	0	6
646019	2	4	8	6	1	4	7	5	5
821	18666	26349	22199	20806	25339	20987	40700	31996	34414
9794	1319	1168	1148	1173	991	891	1891	738	2216
4056	1	1	1	4	0	5	2	0	3
11282	2503	3015	2577	4477	2438	2608	6870	8485	5759
100302156	1	1	1	1	3	1	1	0	0
8878	7981	10615	11309	18022	12728	13513	11569	34637	14762
51149	253	349	300	385	381	412	338	1394	489
100996419	23	21	18	18	14	17	20	13	16
23061	4719	5115	4147	5982	4013	3349	9304	6945	6887
55819	562	707	731	1097	526	467	1305	1039	1005
442908	1	0	0	0	0	0	0	0	0
255426	0	0	0	0	0	0	0	1	0
5601	1172	1453	1025	1020	942	832	2066	1525	1847
9945	20	25	65	56	126	128	45	11	373
102725231	0	0	2	1	0	2	0	2	2
57472	519	782	771	580	697	596	1183	886	1357
92304	0	0	0	0	0	0	0	0	0
2324	0	1	0	0	0	0	5	13	0
105377765	0	0	0	0	0	0	0	0	0
134083	0	1	0	0	0	0	0	0	0
4245	4309	4530	4332	5889	3757	3136	12602	17036	13688
105377766	0	0	1	1	0	1	1	1	1
100859930	383	436	322	463	320	255	499	210	458
729678	198	215	187	262	140	147	262	138	214
643836	330	399	381	364	259	220	465	174	323
79908	0	0	0	0	0	0	0	1	0
10917	0	0	0	0	0	0	0	0	0
153579	0	0	0	0	0	0	0	0	0
102465882	0	0	0	0	0	0	0	0	0
7240	0	0	0	0	0	1	0	0	0
100189362	0	0	0	0	0	0	0	0	0
100189273	0	0	0	0	0	0	0	0	0
791232	0	0	0	0	0	1	0	0	0
26693	0	0	0	0	0	0	0	0	0
285659	0	0	0	0	0	1	0	0	0
100188990	0	0	0	0	0	0	0	0	0
7241	0	0	0	0	0	0	0	0	0
100189541	1	0	0	0	0	0	0	0	0
100189004	0	0	0	0	0	0	0	0	0
100189328	0	0	0	0	0	0	0	0	0
100188992	0	0	0	0	0	0	0	1	0
7219	0	0	0	0	0	0	0	0	0
102577426	0	0	0	0	1	0	0	0	0
7236	0	0	0	0	0	0	0	0	0
105377769	12	5	7	10	6	4	9	18	6
81786	81	95	81	133	43	43	95	12	88
107986496	10	10	12	16	3	6	13	1	11
100189280	0	0	0	0	0	0	0	0	0
100189399	0	0	0	1	0	0	0	0	0
7239	0	0	0	0	0	0	0	0	0
790966	0	0	0	0	1	0	0	0	0
100049614	0	0	0	0	0	0	0	0	0
100616342	0	0	1	0	0	0	0	1	1
90933	919	948	836	1211	848	822	1244	1339	1347
10399	25742	25087	24509	32498	25272	21174	34145	32521	30538
619571	57	63	35	37	56	42	23	14	41
619570	6	8	10	4	10	7	3	5	6
101928649	59	74	51	121	50	65	79	71	75
84851	288	366	349	316	258	235	383	231	350
100507602	111	114	90	108	73	57	85	64	78
105377771	43	59	45	35	24	30	17	10	28
107986495	4	6	5	3	2	5	2	0	3
100132062	83	99	91	77	51	59	76	49	141
26683	2	2	3	1	1	2	0	1	0
107986552	0	0	0	0	0	0	0	0	0
441123	0	0	2	1	1	0	3	2	2
105374869	0	0	0	0	0	1	0	1	0
285766	0	0	0	0	0	0	0	0	0
105374870	0	0	0	0	0	0	0	0	0
102723922	0	1	1	0	0	0	1	2	1
107986553	0	0	1	0	1	0	0	0	0
56940	176	213	213	388	148	172	415	698	303
3662	1	0	1	2	2	0	0	0	0
105374875	2	0	0	1	0	0	0	0	0
55770	814	1099	1059	1133	1160	885	1956	1836	1744
135458	4	4	4	7	2	3	2	4	4
105374873	0	2	1	2	0	0	1	1	0
101927691	0	2	0	1	0	0	0	0	0
101927353	0	0	0	0	0	0	0	0	0
285768	0	1	2	13	1	2	3	2	3
105374879	22	37	60	31	23	20	18	4	18
107986554	45	75	89	118	87	72	24	27	137
94234	116	159	187	397	272	252	86	136	805
106144586	13	14	24	21	8	9	17	15	24
112267978	1	2	3	3	2	3	2	3	2
105374880	87	101	68	106	121	109	62	48	157
2295	1295	1292	865	1606	877	882	1234	548	2297
102466720	88	90	54	98	54	45	36	21	79
102723944	6	7	9	14	6	7	21	21	11
105374883	4	0	2	2	2	3	1	0	2
105374882	0	0	3	4	1	3	1	1	0
107986555	0	1	0	0	3	0	0	0	3
101927703	3	4	8	5	2	8	5	8	10
2296	313	330	208	339	309	266	902	643	889
2762	292	329	217	319	256	260	486	295	383
107986514	4	1	3	1	1	2	4	0	1
107986513	45	51	29	23	23	19	14	6	12
107986512	6	3	4	2	0	5	1	0	2
100508120	13	9	27	17	6	5	39	22	13
154386	5	2	6	2	2	2	2	2	0
105374885	1	1	1	1	0	0	1	1	0
340156	240	255	197	255	201	170	224	141	244
56897	1236	1320	855	1104	1089	964	1492	963	1767
1992	493	607	673	866	530	436	1193	1416	871
100616285	0	0	0	1	0	0	0	0	0
221756	3	1	4	2	2	1	10	5	3
101927730	2	1	1	0	0	1	4	1	6
5272	39	17	20	20	18	14	160	30	114
105374887	0	0	1	0	0	0	0	0	0
5269	2302	2230	2695	2926	2272	1872	4104	3512	3124
401232	5	13	15	9	10	4	20	11	26
105374888	1	2	3	2	2	1	7	6	5
4835	383	433	352	443	308	256	724	301	482
401233	716	1017	853	800	1076	945	1308	1512	1283
101927759	10	8	8	14	6	8	6	5	5
8737	872	917	1057	987	798	715	2126	1276	1785
107986556	14	11	8	17	5	3	3	1	7
670	210	188	242	416	205	182	340	372	264
7280	2353	2600	1896	3099	3393	2888	4985	13614	4406
105374889	2	3	2	10	1	1	1	0	1
100507194	0	0	0	0	0	0	0	0	0
347733	1320	1469	1100	2003	1647	1417	2986	6921	2685
100422781	3	1	2	3	0	1	7	2	4
389362	328	346	309	333	323	312	501	511	413
63027	47	58	51	76	112	106	33	88	85
105374890	0	0	0	0	0	0	0	0	0
643327	1	1	2	3	3	3	3	4	5
100507336	12	8	7	15	8	10	12	0	8
221749	1071	1230	843	1230	772	852	2519	1543	1497
26240	182	189	117	233	161	155	353	356	444
107986557	0	1	0	1	0	0	0	1	3
105374893	0	0	1	1	0	0	0	0	0
107986558	19	71	10	17	7	8	119	18	24
8899	1951	2521	2063	1846	2119	1552	3168	1848	2921
222826	2	3	6	2	2	1	1	0	1
404220	389	385	529	479	555	403	439	440	339
10455	1031	1052	1361	1256	1550	1117	2230	2253	1634
100507506	3	4	10	6	6	7	13	11	8
107986559	0	0	0	1	0	0	0	0	0
102724096	0	0	0	0	0	0	0	0	2
101927888	7	9	16	29	23	16	3	13	24
107986560	0	0	0	0	0	0	0	0	0
107986561	0	2	1	0	0	0	0	0	3
105374894	1	4	5	4	4	5	8	8	23
105374895	2	2	2	0	1	3	1	4	6
497048	0	0	0	0	1	0	1	1	1
9425	587	688	612	633	571	600	1202	1158	1419
101927913	0	0	0	0	0	0	0	0	0
105374897	11	13	9	10	8	8	2	4	6
10799	228	266	173	201	288	244	268	324	347
100129461	68	95	78	81	93	75	147	101	146
57128	451	485	413	518	517	431	644	784	716
648791	17	21	39	73	28	19	105	136	28
100500900	1	1	0	1	0	0	0	0	0
10667	313	291	234	277	328	269	493	432	496
101927972	3	5	4	2	1	2	2	1	2
101927950	4	3	6	2	1	2	3	1	0
107986515	24	13	10	13	6	10	4	6	8
105374898	1	1	2	5	2	2	0	3	2
107986516	0	0	1	0	0	1	0	0	1
51299	6	5	7	16	7	4	0	0	2
2162	0	0	0	0	0	0	0	0	0
102466866	0	0	0	0	0	0	0	0	0
100847034	0	0	0	0	0	0	0	0	0
285780	0	0	0	0	0	0	2	1	0
9450	0	0	0	0	0	0	0	0	0
101928004	0	0	0	0	0	0	1	0	0
101928047	1	0	0	0	0	1	2	0	1
105374901	0	0	0	0	0	0	0	0	0
105374903	0	0	0	0	0	0	0	0	0
105374902	0	0	0	0	0	0	0	0	0
105374904	0	0	0	0	0	0	0	0	0
6239	1220	1310	996	1174	989	974	1904	1144	1700
6745	4273	5481	5542	5385	5953	5006	10608	19901	9472
285782	4	3	1	3	3	1	5	5	3
83732	511	654	507	464	640	560	936	564	793
102724234	0	0	0	0	0	0	0	0	0
101928076	3	3	4	3	4	3	49	25	5
1832	276	224	347	149	257	140	7181	1847	187
154007	387	517	502	338	482	356	819	564	834
105374906	2	0	0	0	0	0	1	2	1
654	202	199	229	211	198	179	322	347	281
105374907	0	0	0	0	0	0	0	0	0
100526836	4987	4754	5049	5476	4334	3686	9851	9947	7361
81567	5003	4757	5048	5484	4340	3699	10261	10384	7638
206426	6	5	5	3	5	3	34	33	20
100526837	335	425	341	314	390	328	499	302	460
63915	106	154	154	147	101	80	281	108	208
9521	371	432	301	291	459	401	458	420	496
100124533	7	11	4	6	4	2	5	0	4
105374910	0	0	0	0	0	0	0	0	0
105374911	0	0	0	0	0	0	0	0	0
105374912	0	0	0	0	0	0	0	0	0
51000	496	635	810	647	708	524	1625	1444	978
100506207	10	12	19	20	3	14	23	18	15
728655	2	0	0	1	0	0	0	0	0
112267952	0	0	1	0	0	1	0	0	0
105374913	0	0	0	0	0	0	0	0	0
105374914	0	0	0	0	0	0	0	0	0
107986562	0	0	0	0	0	0	0	0	0
112267894	0	3	0	0	2	0	0	1	1
112267856	0	1	0	0	0	0	0	0	0
266553	0	0	0	1	0	0	0	0	0
105374919	0	0	0	0	0	0	0	0	0
105374918	0	0	0	0	0	0	0	0	0
105374920	0	0	0	0	0	0	0	0	0
105374921	0	0	0	0	0	0	0	0	0
7020	1900	2100	893	1234	925	868	2286	1125	1657
109729173	247	298	132	177	130	115	240	113	175
100130275	101	101	48	75	56	45	71	62	53
107986564	1	2	1	1	1	0	0	2	0
221718	1	3	3	2	3	0	1	3	2
106660610	1	0	1	0	0	0	0	1	2
100846998	0	0	0	0	0	0	0	0	0
101928106	0	3	0	1	1	0	1	1	0
101928146	0	1	0	1	3	6	0	18	3
2651	166	351	258	383	356	331	297	753	344
105374924	0	1	0	0	0	0	0	0	0
347744	18	11	6	15	14	16	9	13	8
105374923	0	1	0	0	0	1	0	0	0
55003	793	1031	624	603	1106	967	950	689	997
51522	1279	1235	1268	1744	1287	1092	2807	3722	2109
81853	984	869	772	781	968	791	1155	1473	1123
4117	56	61	65	39	33	33	41	13	27
9247	1	1	0	3	0	0	0	0	0
221711	4	9	3	19	2	3	1	0	1
101928191	1	2	1	0	1	0	0	0	0
54898	2	5	7	1	4	4	17	0	87
100506409	0	0	1	0	0	0	1	0	0
221710	471	693	453	538	447	501	1018	1056	1267
405754	17	14	10	10	8	10	1	0	4
4739	223	235	314	515	55	65	533	80	232
105374925	5	4	5	5	4	0	3	1	5
112267953	0	0	1	0	0	0	0	0	0
105374927	0	0	0	0	0	0	0	0	0
105374928	0	0	0	0	0	0	0	1	0
105374929	0	0	0	0	0	0	0	0	0
100113407	66	129	325	359	112	89	137	405	205
340184	3	2	1	1	0	0	8	0	1
84830	24	39	55	37	73	78	61	32	32
107986566	10	16	12	8	25	22	22	3	8
107986569	3	11	4	2	7	5	9	3	1
107986567	0	0	0	0	0	0	0	0	0
102724379	0	0	0	0	0	0	0	1	0
107986570	0	0	0	0	0	0	0	0	0
101928253	0	0	0	0	0	0	0	0	0
3096	436	770	410	530	278	401	1123	564	555
1906	220	390	37	89	119	306	715	786	142
105374931	0	0	0	0	0	0	0	0	1
101928309	0	0	0	0	0	0	0	1	0
107984015	0	0	0	0	0	0	0	0	2
221692	250	323	383	452	452	447	191	256	577
105374935	0	0	0	0	1	0	0	0	2
105374934	0	0	1	0	0	1	0	0	0
105374933	5	3	1	4	6	9	2	12	1
107080638	69	98	77	105	101	95	120	130	120
100130357	14	26	29	23	29	27	7	12	27
51256	66	90	68	92	102	90	141	152	139
105374936	0	0	0	1	0	0	0	0	1
54438	231	346	189	307	313	292	241	273	356
105374937	13	16	14	8	19	16	8	5	15
23408	189	218	193	224	147	152	375	297	241
105374938	15	14	22	19	12	16	14	5	8
51406	1559	1681	1145	1263	1697	1424	1971	2160	2168
10048	1456	1789	1213	1207	1063	1078	2489	1413	1802
63933	987	1252	895	917	927	932	1546	876	1441
107986571	33	46	24	28	33	33	14	25	23
221687	516	566	387	377	549	620	906	816	2111
105374939	0	0	0	0	0	0	0	0	0
9308	80	45	106	63	67	38	297	406	144
105374940	0	0	1	0	1	0	1	0	0
102216342	0	1	0	0	0	0	1	0	0
105374943	0	0	0	0	0	0	1	0	0
105374942	0	0	0	0	0	0	2	0	1
101928331	1	1	0	5	0	1	3	0	4
101928354	0	0	3	2	0	1	0	0	0
102724463	0	0	0	0	0	0	1	1	2
107986572	0	0	0	0	0	0	0	0	0
105374944	0	0	0	0	0	0	0	0	0
105374945	0	0	0	0	0	0	0	0	0
105374946	0	0	0	0	0	0	0	0	0
3720	412	410	620	540	584	516	891	648	1033
100506681	0	3	1	1	1	2	3	3	2
84062	300	332	247	310	277	244	434	294	304
105374947	22	16	17	20	6	10	8	6	6
102724520	0	0	0	0	0	0	0	0	0
105374948	0	0	0	0	0	0	0	0	0
105374949	0	0	0	0	0	0	0	0	0
101928406	0	0	0	0	0	0	0	0	0
29116	174	151	166	322	115	63	324	164	534
100616269	0	1	0	2	0	0	1	0	2
107986517	1	1	0	1	0	0	0	0	3
2766	110	126	262	324	173	94	335	418	244
6310	921	1188	1152	1339	608	569	2458	1392	1633
101928433	57	73	81	116	19	23	147	90	72
107986573	0	1	0	0	0	0	0	1	0
105374951	1	1	1	0	2	4	2	6	2
101928463	0	0	0	0	0	0	0	0	0
401236	1	1	0	1	0	1	2	3	0
221662	344	408	137	147	282	292	916	1991	320
10486	1259	1671	932	1109	1049	888	2923	2186	1811
101928491	10	8	8	10	3	7	6	4	3
102724591	2	4	5	3	1	3	4	3	2
51439	336	455	752	771	596	405	1812	3669	890
9972	2659	3575	2445	1989	2804	2335	4504	2097	4191
105374952	137	187	111	113	140	104	185	132	226
63971	2114	2810	2527	2805	2188	2174	4958	2610	3064
105374953	3	10	1	4	3	0	1	0	1
378884	21	29	13	44	17	28	70	51	85
7172	504	591	600	530	810	595	1348	868	655
221656	526	703	640	674	811	744	1200	913	631
7913	5430	6201	4337	3019	4196	3192	6557	914	4246
255488	90	129	94	90	162	118	307	408	52
105374955	0	1	0	0	0	0	0	0	0
105374956	0	0	0	0	0	1	0	0	0
693125	0	0	0	0	0	0	0	0	0
105374957	0	0	0	0	0	0	0	0	0
100189287	0	0	0	0	0	0	0	0	0
105374958	0	0	0	0	0	0	0	0	0
101928519	0	0	0	0	0	0	0	0	0
107986574	0	0	0	0	0	0	0	0	0
105374961	0	0	0	0	0	0	0	0	0
107986575	1	0	0	0	0	1	1	0	0
105374960	0	0	0	0	0	0	0	0	0
105374959	0	0	0	0	0	1	0	0	0
100506885	3	10	0	2	4	3	8	4	12
105374963	0	0	0	0	0	0	0	0	0
3400	26	41	0	9	10	10	55	6	106
105374965	3	1	2	1	0	1	1	0	0
154141	364	384	208	230	143	149	370	14	243
101928573	0	0	0	2	0	0	0	0	0
107986576	0	1	0	0	0	0	0	0	0
1871	1066	1322	1065	1047	1046	902	1614	976	1716
54901	412	501	351	332	399	337	509	213	500
105374968	8	7	3	5	3	2	5	0	3
107986577	2	4	3	1	1	0	1	0	1
105374966	5	2	5	4	1	0	0	1	0
107986578	18	28	22	14	25	22	22	13	20
100874531	0	0	0	1	0	0	1	0	0
107986579	0	0	0	1	0	0	1	0	0
6659	168	223	434	522	374	237	559	495	834
401237	3	1	1	4	0	0	14	1	2
105374970	0	0	0	0	0	0	0	0	0
729177	0	0	2	0	1	1	3	0	3
5617	0	0	0	0	0	0	0	0	0
105374971	0	0	0	0	0	0	0	0	0
154150	0	0	0	0	0	1	0	0	0
105374972	0	0	0	0	0	0	0	0	0
105374973	0	0	0	1	0	0	0	0	0
102724736	0	0	0	0	0	0	0	0	0
105374974	0	0	0	0	0	0	0	0	0
102724749	0	0	0	0	0	0	1	0	3
105374976	0	0	0	0	0	0	0	0	0
105374975	0	0	0	0	0	0	0	0	0
140767	1	1	0	0	0	0	0	0	0
51473	5	0	15	11	8	7	3	10	14
353219	0	0	1	1	1	1	0	0	0
57380	280	354	323	327	558	384	728	1609	914
2822	55	59	54	41	72	60	136	318	179
7915	18	19	17	13	14	10	50	40	155
9856	3	5	6	6	5	10	0	5	4
51567	599	824	768	717	760	794	1204	1248	1342
55856	430	485	453	555	474	436	708	996	728
81688	2182	2860	3186	3035	2007	2071	5554	4125	5078
105374978	0	0	0	0	0	0	0	0	0
51053	719	821	505	278	606	578	1003	155	1130
101928603	0	1	2	1	2	0	2	0	0
9750	101	67	383	418	15	7	1995	362	32
105374981	0	0	0	0	0	0	0	1	0
102724765	2	2	0	1	0	0	2	1	0
8418	46	67	31	35	12	11	209	20	17
101928663	0	0	0	0	0	0	2	1	1
105375106	2	1	0	2	1	1	4	4	0
55604	236	369	255	313	247	174	775	495	72
10590	0	0	0	0	0	0	0	0	0
6568	0	0	0	0	0	0	0	0	0
221613	0	0	0	0	0	0	0	0	0
255626	0	0	0	0	0	0	0	0	0
387319	0	0	0	0	0	0	0	0	0
10050	0	0	0	0	0	0	0	0	0
10786	0	0	0	0	0	0	0	0	1
10246	0	1	0	0	0	0	0	0	1
10475	481	678	979	882	592	538	1123	712	1075
3024	4	0	0	0	1	0	1	0	2
8350	4	1	1	2	0	4	9	2	5
8359	1	0	2	1	0	0	1	1	3
8366	0	1	1	0	0	2	3	1	5
8358	1	1	1	1	7	1	1	0	7
8335	1	1	2	0	0	0	1	1	3
3018	0	1	0	0	2	1	2	2	4
8352	11	10	3	1	4	7	6	2	18
3006	341	223	124	129	450	296	333	2038	370
108783645	34	35	36	35	24	22	50	63	45
3077	425	359	420	456	336	295	811	682	806
8364	3	2	2	2	4	1	5	1	4
3010	0	0	0	1	0	0	1	2	2
8347	25	18	16	9	59	48	50	367	106
8334	161	155	149	155	346	252	410	879	437
3008	6	11	8	5	13	8	7	10	14
3017	80	61	59	66	138	127	215	416	300
8344	4	2	2	2	8	9	50	212	80
8360	3	2	3	0	0	5	1	8	8
8351	13	19	8	10	42	35	30	137	89
3013	5	5	3	1	14	18	9	42	32
8343	4	3	1	1	5	0	3	12	15
8367	6	8	6	4	14	5	15	46	20
8339	18	11	6	5	40	31	32	260	93
3012	7	9	7	10	17	14	16	118	53
8353	13	3	17	18	7	10	22	58	19
3007	7	3	0	0	5	2	3	3	6
8361	0	0	0	0	1	0	1	0	0
8369	0	0	0	0	0	0	0	0	0
8968	4	0	2	2	2	1	4	1	5
8345	31	22	13	8	22	20	28	4	56
105374986	8	9	5	3	15	13	10	4	12
8355	5	9	1	2	9	9	16	4	12
8346	1	4	0	0	3	2	3	4	4
105374985	25	29	29	29	120	109	82	890	106
8365	8	11	13	18	66	42	30	392	61
7210	0	0	0	0	1	0	0	0	0
7232	0	0	0	0	0	0	0	0	0
100189218	0	0	0	0	0	0	0	0	0
100189321	0	0	0	0	0	0	0	0	0
100189185	0	0	0	0	0	0	0	0	0
100189430	0	0	0	0	0	0	0	0	0
100189094	0	0	0	1	0	1	1	0	0
100189436	0	0	0	0	0	0	0	0	0
100189410	1	0	1	1	0	1	0	0	0
101928743	0	0	0	0	0	0	0	0	0
100189382	0	0	0	0	0	0	0	0	0
100189396	0	0	0	0	0	0	0	0	0
100189040	0	0	0	0	0	0	0	0	0
100189048	0	0	0	0	0	0	0	0	0
107986582	0	0	0	0	0	0	0	0	0
11118	349	346	603	628	563	425	920	193	1105
10385	206	214	312	344	255	180	473	639	687
11119	220	222	434	415	198	183	535	146	630
54718	84	120	110	99	98	59	175	88	140
10384	95	93	261	212	119	63	380	49	267
11120	1218	1403	1105	1373	1204	1064	2125	2446	2576
285819	7	5	7	5	2	4	7	7	10
107986583	68	83	100	96	68	73	314	218	190
696	1	0	3	1	0	0	0	2	2
100189288	0	0	0	0	0	0	0	0	0
493812	132	202	255	203	130	156	672	522	505
100189319	0	0	0	0	0	0	0	0	1
7231	0	0	1	0	0	0	0	0	0
